FID,OBJECTID_1,Bezirk,Bezirk_Nam,OBJECTID,Ortsteilnu,SHP_Area,SHP_Length,Stadtteil,gml_id,gml_origin,SHAPE_Leng,SHAPE_Length,SHAPE_Area
1,1,1,Hamburg-Mitte,1,119,400549.608832,3188.04573164,Borgfelde,F17__1,urn:ogc:def:crs:EPSG:6.9:25832,3187.68252493,5359.80296463781,1135231.64076959
2,2,1,Hamburg-Mitte,2,137,18445315.9116,19474.4359691,Wilhelmsburg,F17__2,urn:ogc:def:crs:EPSG:6.9:25832,19474.0185029,32730.3863665731,52069168.7258927
3,3,1,Hamburg-Mitte,3,131,6285402.7388,10929.8363163,Billbrook,F17__3,urn:ogc:def:crs:EPSG:6.9:25832,10929.2007609,18372.3016255287,17765273.5546838
4,4,1,Hamburg-Mitte,4,106,643061.306538,4045.82044337,Neustadt,F17__4,urn:ogc:def:crs:EPSG:6.9:25832,4045.48595074,6806.78873752316,1820795.54982407
5,5,1,Hamburg-Mitte,5,124,421836.215135,2799.73601134,Hamm,F17__5,urn:ogc:def:crs:EPSG:6.9:25832,2799.47146511,4707.20251156644,1195256.45295477
6,6,1,Hamburg-Mitte,6,104,1354891.41115,6007.20649072,HafenCity,F17__6,urn:ogc:def:crs:EPSG:6.9:25832,6006.71093983,10099.0293392929,3830426.91229276
7,7,1,Hamburg-Mitte,7,135,7979999.90889,16616.997447,Wilhelmsburg,F17__7,urn:ogc:def:crs:EPSG:6.9:25832,16615.6107727,27912.6166693638,22504387.2200214
8,8,1,Hamburg-Mitte,8,120,420577.713746,2979.43331156,Borgfelde,F17__8,urn:ogc:def:crs:EPSG:6.9:25832,2979.06917384,5010.86566761107,1190078.21612943
9,9,1,Hamburg-Mitte,9,112,550718.432041,3614.7456736,St.Pauli,F17__9,urn:ogc:def:crs:EPSG:6.9:25832,3613.99085857,6076.84354225701,1561417.64803249
10,10,1,Hamburg-Mitte,10,121,473627.111451,2889.96870209,Hamm,F17__10,urn:ogc:def:crs:EPSG:6.9:25832,2889.92249651,4862.28827853539,1340841.00179383
11,11,1,Hamburg-Mitte,11,111,598353.432281,3407.20092348,St.Pauli,F17__11,urn:ogc:def:crs:EPSG:6.9:25832,3406.92546111,5731.62544172637,1692814.98554515
12,12,1,Hamburg-Mitte,12,134,4368204.49137,9352.00293507,Veddel,F17__12,urn:ogc:def:crs:EPSG:6.9:25832,9351.61569527,15717.1796604397,12340609.4387757
13,13,1,Hamburg-Mitte,13,117,723951.417628,3708.34724264,Hammerbrook,F17__13,urn:ogc:def:crs:EPSG:6.9:25832,3708.32500405,6238.13460752997,2048055.72576863
14,14,1,Hamburg-Mitte,14,107,260715.443102,2675.3844675,Neustadt,F17__14,urn:ogc:def:crs:EPSG:6.9:25832,2675.01885857,4500.78719378302,737905.397160368
15,15,1,Hamburg-Mitte,15,102,545795.533185,2916.403963,Hamburg-Altstadt,F17__15,urn:ogc:def:crs:EPSG:6.9:25832,2916.28068848,4905.31542989703,1544056.80340915
16,16,1,Hamburg-Mitte,16,132,6192235.32978,15807.0959956,Rothenburgsort,F17__16,urn:ogc:def:crs:EPSG:6.9:25832,15803.9142735,26571.5008880844,17498413.0590748
17,17,1,Hamburg-Mitte,17,127,366624.902052,2900.91126249,Hamm,F17__17,urn:ogc:def:crs:EPSG:6.9:25832,2900.48458415,4875.10344365234,1037728.50700876
18,18,1,Hamburg-Mitte,18,136,8937261.9498,15995.6722664,Wilhelmsburg,F17__18,urn:ogc:def:crs:EPSG:6.9:25832,15994.5549096,26877.7732595466,25227597.733577
19,19,1,Hamburg-Mitte,19,129,3314011.31055,9105.27240832,Horn,F17__19,urn:ogc:def:crs:EPSG:6.9:25832,9104.94348594,15316.6954961502,9379561.44340276
20,20,1,Hamburg-Mitte,20,116,224155.966942,2329.60080359,Hammerbrook,F17__20,urn:ogc:def:crs:EPSG:6.9:25832,2329.60080359,3920.16109048408,634138.563796545
21,21,1,Hamburg-Mitte,21,122,434986.508367,3984.3442209,Hamm,F17__21,urn:ogc:def:crs:EPSG:6.9:25832,3984.14033656,6702.41902837565,1231184.26510787
22,22,1,Hamburg-Mitte,22,114,872407.505784,4704.35300877,St.Georg,F17__22,urn:ogc:def:crs:EPSG:6.9:25832,4704.08835903,7912.51795828291,2468473.08417126
23,23,1,Hamburg-Mitte,23,113,949088.236441,4745.97698995,St.Georg,F17__23,urn:ogc:def:crs:EPSG:6.9:25832,4745.51312779,7984.45636168667,2685938.80031026
24,24,1,Hamburg-Mitte,24,108,826703.914282,4033.11072804,Neustadt,F17__24,urn:ogc:def:crs:EPSG:6.9:25832,4032.53462162,6784.19108520424,2338586.40439525
25,25,1,Hamburg-Mitte,25,101,753588.448335,3976.84400264,Hamburg-Altstadt,F17__25,urn:ogc:def:crs:EPSG:6.9:25832,3976.75633999,6690.82838844363,2132321.67788635
26,26,1,Hamburg-Mitte,26,118,592649.075066,2990.40944532,Hammerbrook,F17__26,urn:ogc:def:crs:EPSG:6.9:25832,2989.99046555,5029.91982222921,1674643.0535143
27,27,1,Hamburg-Mitte,27,103,1069566.22246,5013.33336982,HafenCity,F17__27,urn:ogc:def:crs:EPSG:6.9:25832,5013.14384674,8427.11036791758,3025013.59352151
28,28,1,Hamburg-Mitte,28,128,2579587.64444,7250.75895027,Horn,F17__28,urn:ogc:def:crs:EPSG:6.9:25832,7250.22736292,12195.9941244804,7297329.49863814
29,29,1,Hamburg-Mitte,29,133,992889.270125,4408.55757289,Rothenburgsort,F17__29,urn:ogc:def:crs:EPSG:6.9:25832,4408.07751411,7412.56280833602,2807931.88091801
30,30,1,Hamburg-Mitte,30,125,447556.089429,2831.2377604,Hamm,F17__30,urn:ogc:def:crs:EPSG:6.9:25832,2831.2377604,4760.97856426059,1266426.03973081
31,31,1,Hamburg-Mitte,31,130,16912571.8773,21984.9255786,Billstedt,F17__31,urn:ogc:def:crs:EPSG:6.9:25832,21984.4625072,36971.8007476325,47838526.837358
32,32,1,Hamburg-Mitte,32,139,7421356.80972,12217.2180697,Steinwerder,F17__32,urn:ogc:def:crs:EPSG:6.9:25832,12216.2349057,20537.235493526,20978808.7256601
33,33,1,Hamburg-Mitte,33,105,529838.823858,3160.74654058,Neustadt,F17__33,urn:ogc:def:crs:EPSG:6.9:25832,3160.38985623,5314.16223873176,1498767.98384033
34,34,1,Hamburg-Mitte,34,126,894563.788275,5973.80141777,Hamm,F17__34,urn:ogc:def:crs:EPSG:6.9:25832,5972.7855893,10044.0407587894,2529724.60335991
35,35,1,Hamburg-Mitte,35,115,953421.038786,4678.52241232,Hammerbrook,F17__35,urn:ogc:def:crs:EPSG:6.9:25832,4678.05893165,7866.61675556896,2697824.82944117
36,36,1,Hamburg-Mitte,36,142,3546697.22007,7395.08003006,Neuwerk,F17__36,urn:ogc:def:crs:EPSG:6.9:25832,7395.08003006,12548.7900793809,10213652.9071115
37,37,1,Hamburg-Mitte,37,123,846940.955103,3892.94030148,Hamm,F17__37,urn:ogc:def:crs:EPSG:6.9:25832,3892.78262272,6551.52679011776,2397313.1915881
